"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"U9","SOT363-6L","1814.582mil","2525.322mil","1814.583mil","2525.323mil","1777.18mil","2550.912mil","T","360.00","NC7WZ07P6X"
"U10","SOT23-5AL_MOD(1-07)","1668.914mil","2513.511mil","1668.913mil","2513.512mil","1706.316mil","2560.756mil","T","270.00","NCP303LSN09"
"U11","QFN50P400X400-24V9L","3078mil","2233mil","3078mil","2233mil","3153.788mil","2183.788mil","T","180.00","USB3318"
"U12","8S1_L","2135.544mil","2716.268mil","2135.543mil","2716.268mil","2043.024mil","2791.268mil","T","360.00","AT25DF041A-SSH"
"U13","SOT23-5AL_MOD(1-07)","2940.566mil","2121.78mil","2940.567mil","2121.78mil","2987.81mil","2159.182mil","B","180.00","NCP699SN18"
"U14","SOT23-5AL_MOD(1-07-26)","3267.338mil","2007.607mil","3267.339mil","2007.606mil","3304.74mil","1956.426mil","B","90.00","NC7SZU04"
"U15","TSSOP50P490-10AL","2617.733mil","1956.424mil","2617.732mil","1956.425mil","2538.008mil","1995.794mil","T","360.00","CS2300-CP"
"U25","LME49726","560.646mil","1036.15mil","560.646mil","1036.15mil","655.134mil","997.764mil","T","90.00","LME49726MY"
"U26","LME49726","1635.448mil","1036.15mil","1635.448mil","1036.15mil","1729.936mil","997.764mil","T","90.00","LME49726MY"
"U27","LME49726","1100.016mil","1036.15mil","1100.016mil","1036.15mil","1194.504mil","997.764mil","T","90.00","LME49726MY"
"U28","LME49726","2186.63mil","1036.15mil","2186.63mil","1036.15mil","2281.118mil","997.764mil","T","90.00","LME49726MY"
"C86","3-0603","3975.882mil","987.567mil","3975.882mil","987.567mil","3975.882mil","954.102mil","T","90.00",""
"C88","3-0603","3649.11mil","987.568mil","3649.11mil","987.567mil","3649.11mil","954.104mil","T","90.00",""
"C93","2-0402","3517.997mil","1337mil","3518mil","1337mil","3543.588mil","1337mil","T","180.00",""
"C94","2-0402","3759.466mil","1420.991mil","3759.465mil","1420.992mil","3759.466mil","1446.582mil","T","270.00",""
"C97","3-0603","3433.518mil","987.568mil","3433.519mil","987.567mil","3433.518mil","954.104mil","T","90.00",""
"C98","3-0603","4522.11mil","982.086mil","4522.109mil","982.087mil","4522.11mil","948.622mil","T","90.00",""
"C99","3-0603","3098.874mil","987.568mil","3098.874mil","987.567mil","3098.874mil","954.104mil","T","90.00",""
"C100","3-0603","4195.338mil","986.024mil","4195.34mil","986.025mil","4195.338mil","952.56mil","T","90.00",""
"C105","2-0402","3626.999mil","1337mil","3627mil","1337mil","3652.59mil","1337mil","T","180.00",""
"C106","2-0402","3759.464mil","1527.291mil","3759.465mil","1527.291mil","3759.464mil","1552.882mil","T","270.00",""
